"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","APC-Cy7-A","AmCyan-A","FITC-A","PE-A","PE-Cy7-A","Pacific Blue-A","PerCP-Cy5-5-A","Time"
63866.3,38501,108713,14930.8,11413,85735.8,446.6,45.82,1492.5,9567.48,2138.76,4821.96,341.25,3009.24,109.2
74736.8,39736,123262,27471.6,20252,88898.8,535.34,71.92,3282.75,32876.2,6242.34,8199.36,583.5,5855.46,109.3
148349,76923,126389,46406.1,28427,106985,932.64,238.38,5280.75,52775.6,9605.7,20451.6,829.5,8983.26,109.4
61290.4,38807,103505,20051.5,14615,89914,184.44,97.44,1606.5,13673.4,2689.44,8186.1,297,1099.02,109.4
83176.9,53474,101939,18495.4,14038,86345.1,270.86,97.44,1489.5,7513.74,1896.18,4133.22,435,1494.48,109.7
52223.3,37803,90535.3,8543.34,7259,77131.3,419.92,89.32,1477.5,10676.6,2258.1,8622.12,331.5,6145.62,110
123659,61849,131030,39782.3,25453,102431,3335,437.32,5287.5,59950.8,10172,13689,711.75,31583,110.3
95670.6,64579,97088.3,14978.3,12259,80073.5,146.74,140.36,1536,10556.5,2347.02,6036.42,370.5,1078.74,110.4
152748,85371,117258,29980.9,21455,91578.9,922.2,175.74,4591.5,53998.6,8913.06,11398.9,708.75,8058.96,111.9
44710,35174,83303.4,9757.8,8562,74689,424.56,120.06,1111.5,10589.3,1926.6,11159.5,208.5,5676.06,113.3
111469,72811,100331,42655.9,22863,122272,482.56,160.66,3434.25,28967.6,5954.52,17893.2,770.25,4648.02,113.7
51982.6,32950,103391,16715.4,13030,84072.2,673.38,129.92,1760.25,17588.2,3031.08,8512.14,297,7854.6,114.2
106329,58978,118152,23216.7,17170,88615.6,1407.66,389.18,2016.75,17322.2,3683.94,15206.9,437.25,15651.5,114.2
132388,76382,113589,30643.1,22510,89214.8,446.6,172.26,3155.25,17241.9,4761.12,11201.6,945.75,2305.68,114.5
85976.5,48774,115524,21223,15734,88399.1,516.78,102.66,2359.5,22985,4430.4,6213.48,420.75,3268.98,114.6
