"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
79687.8,39142,133422,32768.6,20770,103395,1847.88,403.68,2864.25,19727.8,4337.58,21173.1,627.75,15405,237.4
56632.4,40380,91913.4,12742.9,10140,82358.6,205.32,265.06,2169,19064,4033.38,16972.8,354.75,1769.82,237.5
136450,71858,124445,27002.8,19030,92993,918.72,347.42,4044.75,46852.3,8244.6,17287.9,637.5,7700.94,237.8
121733,72775,109624,26768.8,19495,89988.3,332.34,160.66,2102.25,19252.7,3760.38,13394.9,371.25,4390.62,238.5
44416.2,25554,113910,22418.8,18022,81524.6,219.24,322.48,2856,41975.7,7306.26,26014.6,383.25,1879.8,238.9
94419.4,53305,116084,38925.9,23481,108643,498.22,325.96,5782.5,77387.7,13156.3,30299.9,728.25,7148.7,238.9
79092.2,45628,113601,29108.8,20556,92803.8,857.24,231.42,2826.75,27349.9,5292.3,18077.3,482.25,9434.88,239.8
125066,73727,111171,23391.4,17435,87925.4,186.18,194.3,3034.5,34926.8,6158.1,11072.9,450.75,1444.56,240.3
106699,70154,99675.2,23786.9,17614,88503.3,1227.28,333.5,3798.75,31425.4,6077.76,17158.4,600.75,13196,241.3
92501.8,49831,121655,36048.5,24307,97193.1,628.14,354.96,3726,45387.4,7936.5,25521.6,519,5471.7,243.6
75798.2,47931,103639,27725.1,17371,104599,434.42,179.8,2995.5,36021.2,6459.18,17785.6,430.5,1634.1,244.6
102301,58187,115222,18473.5,14091,85918.7,573.04,148.48,1540.5,9632.22,2638.74,14522.8,333.75,5437.38,245.2
117063,62711,122336,21318.2,15315,91224.8,959.9,219.82,3444.75,43541.2,7440.42,14817.7,479.25,9370.92,245.3
